-148.549669622,-52.220327995,16.460000000
-245.915269983,-51.403344891,16.460000000
-148.549385682,-52.219196009,16.460000000
-245.915223219,-51.401808385,16.460000000
-148.549408540,-52.218597722,16.460000000
-245.915121302,-51.403329792,16.460000000
-148.549480049,-52.220266132,16.460000000
-245.915172680,-51.400851503,16.460000000
-148.549438737,-52.218030471,16.460000000
-245.915375884,-51.403427305,16.460000000
-148.549280830,-52.218923603,16.460000000
-245.916226026,-51.403838326,16.460000000
-148.549481727,-52.224945899,16.460000000
-245.916129981,-51.402973294,16.460000000
-148.549431817,-52.223896747,16.460000000
-245.915645144,-51.401825581,16.460000000
-148.549413363,-52.221413426,16.460000000
-245.915243770,-51.403251153,16.460000000
-148.549554704,-52.221124033,16.460000000
-245.915422648,-51.402096729,16.460000000
-148.549554914,-52.224973790,16.460000000
-245.915520160,-51.402030253,16.460000000
-148.549394490,-52.221778521,16.460000000
-245.916080701,-51.399974938,16.460000000
-148.549500391,-52.221843739,16.460000000
-245.915501706,-51.401178433,16.460000000
-148.549320674,-52.219124919,16.460000000
-245.915447603,-51.401685708,16.460000000
-148.549495148,-52.226083127,16.460000000
-245.916014644,-51.403726763,16.460000000
-148.549367228,-52.223682639,16.460000000
-245.915510095,-51.404470375,16.460000000
-148.549248326,-52.224928284,16.460000000
-245.915093621,-51.402333905,16.460000000
-148.549253359,-52.220772988,16.460000000
-245.915186520,-51.405109136,16.460000000
-148.549202400,-52.221775795,16.460000000
-245.916379740,-51.402073452,16.460000000
-148.549353597,-52.224457707,16.460000000
-245.916316618,-51.403250943,16.460000000
-148.549432656,-52.223986081,16.460000000
-245.915480317,-51.402330130,16.460000000
-148.549364502,-52.221350514,16.460000000
-245.915328490,-51.401197726,16.460000000
-148.549265102,-52.225555511,16.460000000
-245.916654243,-51.403462745,16.460000000
-148.549426994,-52.221593772,16.460000000
-245.915477590,-51.403464003,16.460000000
-148.549323819,-52.225814705,16.460000000
-245.915676390,-51.400912527,16.460000000
