-148.670631004,-52.249803443,16.460000000
-245.791364558,-51.428727325,16.460000000
-148.670511473,-52.249741370,16.460000000
-245.791091103,-51.428701741,16.460000000
-148.670383763,-52.249670490,16.460000000
-245.790982476,-51.428617649,16.460000000
-148.670521539,-52.249452817,16.460000000
-245.791259706,-51.428635474,16.460000000
-148.670461982,-52.249469174,16.460000000
-245.791299550,-51.428365794,16.460000000
-148.670328610,-52.249503775,16.460000000
-245.791924469,-51.428562916,16.460000000
-148.670371600,-52.249443380,16.460000000
-245.792009609,-51.428575289,16.460000000
-148.670322948,-52.249504404,16.460000000
-245.791629625,-51.428544043,16.460000000
-148.670395925,-52.249393260,16.460000000
-245.791170372,-51.428541317,16.460000000
-148.670477501,-52.249446316,16.460000000
-245.791396433,-51.428262200,16.460000000
-148.670366147,-52.249499371,16.460000000
-245.791568391,-51.428528734,16.460000000
-148.670372858,-52.249491193,16.460000000
-245.792006673,-51.428328886,16.460000000
-148.670441851,-52.249384453,16.460000000
-245.791407338,-51.428569417,16.460000000
-148.670336160,-52.249505662,16.460000000
-245.791368333,-51.428440658,16.460000000
-148.670244728,-52.249472529,16.460000000
-245.791864074,-51.428317562,16.460000000
-148.670384392,-52.249613660,16.460000000
-245.791391820,-51.428398088,16.460000000
-148.670026426,-52.249522858,16.460000000
-245.791047485,-51.428430593,16.460000000
-148.670161476,-52.249510485,16.460000000
-245.791122140,-51.428504199,16.460000000
-148.670093112,-52.249674894,16.460000000
-245.792134174,-51.428609890,16.460000000
-148.670129601,-52.249770309,16.460000000
-245.792183245,-51.428685803,16.460000000
-148.670212015,-52.249563750,16.460000000
-245.791404821,-51.428566481,16.460000000
-148.670370761,-52.249650358,16.460000000
-245.791406918,-51.428731309,16.460000000
-148.669992454,-52.249778697,16.460000000
-245.792412242,-51.428592065,16.460000000
-148.670218306,-52.249601707,16.460000000
-245.791491639,-51.428600034,16.460000000
-148.670133795,-52.249558927,16.460000000
-245.791633819,-51.428653928,16.460000000
